rID,DaysAfterPlanting,Genotype,Location,Humidity,GDD,Growth.rate
1,1,Gen-A,Loc-K,52.82,8.5,-0.626926185
2,2,Gen-A,Loc-K,60.94,22,-0.625258877
3,3,Gen-A,Loc-K,81.27,38.5,-0.623447456
4,4,Gen-A,Loc-K,65.71,58,-0.621479464
5,5,Gen-A,Loc-K,62.41,75.5,-0.61934137
6,6,Gen-A,Loc-K,47.66,91,-0.617018468
7,7,Gen-A,Loc-K,47.93,104,-0.614494787
8,8,Gen-A,Loc-K,49.38,122,-0.611752971
9,9,Gen-A,Loc-K,67.23,133,-0.608774167
10,10,Gen-A,Loc-K,83.94,145.5,-0.60553789
11,11,Gen-A,Loc-K,64.41,161,-0.602021884
12,12,Gen-A,Loc-K,52.71,164.5,-0.598201973
13,13,Gen-A,Loc-K,52.64,170,-0.594051888
14,14,Gen-A,Loc-K,66.06,173.5,-0.58954309
15,15,Gen-A,Loc-K,65.08,177.5,-0.584644573
16,16,Gen-A,Loc-K,56,185,-0.579322654
17,17,Gen-A,Loc-K,83.16,192,-0.573540734
18,18,Gen-A,Loc-K,64.87,203.5,-0.567259054
19,19,Gen-A,Loc-K,71.21,226,-0.560434417
20,20,Gen-A,Loc-K,52.67,248,-0.553019892
21,21,Gen-A,Loc-K,56.57,269.5,-0.544964493
22,22,Gen-A,Loc-K,74.88,291,-0.536212825
23,23,Gen-A,Loc-K,76.57,313,-0.526704706
24,24,Gen-A,Loc-K,69.32,331,-0.516374753
25,25,Gen-A,Loc-K,67.65,344.5,-0.50515193
26,26,Gen-A,Loc-K,62.15,362,-0.492959062
27,27,Gen-A,Loc-K,72.08,380,-0.479712303
28,28,Gen-A,Loc-K,78.11,401,-0.465320561
29,29,Gen-A,Loc-K,82.57,415,-0.449684868
30,30,Gen-A,Loc-K,61.87,427.5,-0.432697703
31,31,Gen-A,Loc-K,59.91,446,-0.414242253
32,32,Gen-A,Loc-K,60.32,465.5,-0.394191605
33,33,Gen-A,Loc-K,58.08,482,-0.372407879
34,34,Gen-A,Loc-K,64.29,502.5,-0.348741276
35,35,Gen-A,Loc-K,66.93,523.5,-0.323029051
36,36,Gen-A,Loc-K,71.17,547.5,-0.295094388
37,37,Gen-A,Loc-K,71.63,573,-0.264745192
38,38,Gen-A,Loc-K,69.71,599,-0.231772763
39,39,Gen-A,Loc-K,64.81,626,-0.19595036
40,40,Gen-A,Loc-K,58.3,650,-0.157031649
41,41,Gen-A,Loc-K,56.86,673.5,-0.114748998
42,42,Gen-A,Loc-K,70.81,697,-0.068811647
43,43,Gen-A,Loc-K,55.14,722,-0.018903702
44,44,Gen-A,Loc-K,43.67,747.5,0.03531803
45,45,Gen-A,Loc-K,54.76,774.5,0.094226406
46,46,Gen-A,Loc-K,73.05,799,0.1582265
47,47,Gen-A,Loc-K,63.78,823.5,0.22775838
48,48,Gen-A,Loc-K,77.98,850,0.303300113
49,49,Gen-A,Loc-K,66.61,876.5,0.385370996
